stop_id,stop_name,stop_lat,stop_lon
19071,"Av. Dos Ourives, 780",-23.655059,-46.605613
19072,"Av. Dos Ourives, 780",-23.654941,-46.606063
19073,"Rod. Arão Sahm, 25020",-23.373505,-46.575333
105268,"R. Montezina, 226",-23.574848,-46.569859
105388,"Av. Sapopemba, 1985",-23.572148,-46.569094
105431,"R. Pirassununga, 737",-23.563139,-46.578407
105432,"R. Pirassununga, 1110",-23.566061,-46.580120
109574,"R. Fernando Falcão, 25",-23.554218,-46.583823
109576,"R. Tié, 84",-23.556910,-46.581024
109594,"R. Diogo Lopes, 67",-23.562110,-46.576815
109595,"R. Pirassununga, 826",-23.563870,-46.578970
109731,"Pça. Tristão Da Cunha, 86",-23.568968,-46.578067
109733,"R. Mj. Basílio, 3200",-23.557149,-46.577835
109738,"R. Campo Largo, 475",-23.567375,-46.581100
109740,"R. Lituânia, 330",-23.563491,-46.588985
109741,"R. Lituânia, 597",-23.564418,-46.586861
109749,"R. Barretos, 581",-23.565979,-46.585566
109751,"R. Corumbaíba, 728",-23.571395,-46.576371
109754,"Av. Luca, 861",-23.569279,-46.557136
109759,"R. Pirassununga, 1313",-23.567859,-46.580223
109760,"R. Lituânia, 597",-23.564482,-46.586844
109761,"R. Pirajá, 347",-23.562065,-46.575911
109762,"R. Corumbaíba, 238",-23.569985,-46.576826
109763,"Av. Salim Farah Maluf, 140",-23.536565,-46.582756
109767,"Av. Salim Farah Maluf, 3680",-23.561696,-46.576657
109773,"R. Siqueira Bueno, 1916",-23.552927,-46.585032
109775,"R. Sebastião Barbosa, 37",-23.552890,-46.574672
109776,"Pça. Ituzaingo, 10",-23.552772,-46.572320
109777,"R. Pirassununga, 1071",-23.565925,-46.580017
109778,"Av. Salim Farah Maluf, 3117",-23.556724,-46.577177
109780,"R. Eng. Cestari, 93",-23.563771,-46.560377
109781,"Av. Adutora Do Rio Claro, 2213",-23.573407,-46.567584
210999,"R. Livi, 473",-23.547121,-46.700656
211121,"R. Pio Xi, 1480",-23.536022,-46.714262
211122,"R. S. Domingos Savio, 160",-23.536739,-46.713576
211139,"R. Bellini, 145",-23.546395,-46.713925
211147,"Av. Arruda Botelho, 255",-23.550196,-46.717396
211148,"Av. Arruda Botelho, 595",-23.552959,-46.718863
211151,"Av. Prof. Fonseca Rodrigues, 519",-23.551449,-46.711085
211191,"Av. S. Gualter, 1850",-23.551015,-46.709414
211193,"R. Da. Elisa Moraes Mendes, 1280",-23.552654,-46.708362
211227,"Av. Pe. Pereira De Andrade, 100",-23.538202,-46.719706
